rank,name,year
1,The Shawshank Redemption,1994
2,The Godfather,1972
3,The Dark Knight,2008
4,The Godfather Part II,1974
5,12 Angry Men,1957
6,Schindler's List,1993
7,The Lord of the Rings: The Return of the King,2003
8,Pulp Fiction,1994
9,The Lord of the Rings: The Fellowship of the Ring,2001
10,"The Good, the Bad and the Ugly",1966
11,Forrest Gump,1994
12,Fight Club,1999
13,The Lord of the Rings: The Two Towers,2002
14,Inception,2010
15,Star Wars: Episode V - The Empire Strikes Back,1980
16,The Matrix,1999
17,Goodfellas,1990
18,One Flew Over the Cuckoo's Nest,1975
19,Se7en,1995
20,Seven Samurai,1954
21,It's a Wonderful Life,1946
22,The Silence of the Lambs,1991
23,City of God,2002
24,Saving Private Ryan,1998
25,Interstellar,2014
26,Life Is Beautiful,1997
27,The Green Mile,1999
28,Star Wars: Episode IV - A New Hope,1977
29,Terminator 2: Judgment Day,1991
30,Back to the Future,1985
31,Spirited Away,2001
32,The Pianist,2002
33,Psycho,1960
34,Parasite,2019
35,Léon: The Professional,1994
36,The Lion King,1994
37,Gladiator,2000
38,American History X,1998
39,The Departed,2006
40,The Usual Suspects,1995
41,The Prestige,2006
42,Whiplash,2014
43,Casablanca,1942
44,Grave of the Fireflies,1988
45,Harakiri,1962
46,The Intouchables,2011
47,Modern Times,1936
48,Once Upon a Time in the West,1968
49,Rear Window,1954
50,Cinema Paradiso,1988
51,Alien,1979
52,City Lights,1931
53,Apocalypse Now,1979
54,Memento,2000
55,Django Unchained,2012
56,Indiana Jones and the Raiders of the Lost Ark,1981
57,WALL·E,2008
58,The Lives of Others,2006
59,Sunset Blvd.,1950
60,Paths of Glory,1957
61,The Shining,1980
62,The Great Dictator,1940
63,Avengers: Infinity War,2018
64,Witness for the Prosecution,1957
65,Aliens,1986
66,Spider-Man: Into the Spider-Verse,2018
67,American Beauty,1999
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
69,The Dark Knight Rises,2012
70,Oldboy,2003
71,Inglourious Basterds,2009
72,Amadeus,1984
73,Coco,2017
74,Toy Story,1995
75,Joker,2019
76,Braveheart,1995
77,The Boat,1981
78,Avengers: Endgame,2019
79,Princess Mononoke,1997
80,Once Upon a Time in America,1984
81,Good Will Hunting,1997
82,Your Name.,2016
83,3 Idiots,2009
84,Singin' in the Rain,1952
85,Requiem for a Dream,2000
86,Toy Story 3,2010
87,High and Low,1963
88,Capernaum,2018
89,Star Wars: Episode VI - Return of the Jedi,1983
90,Eternal Sunshine of the Spotless Mind,2004
91,2001: A Space Odyssey,1968
92,Reservoir Dogs,1992
93,Come and See,1985
94,The Hunt,2012
95,Citizen Kane,1941
96,M,1931
97,Lawrence of Arabia,1962
98,North by Northwest,1959
99,Vertigo,1958
100,Ikiru,1952
101,Amélie,2001
102,The Apartment,1960
103,A Clockwork Orange,1971
104,Double Indemnity,1944
105,Full Metal Jacket,1987
106,Top Gun: Maverick,2022
107,Scarface,1983
108,Hamilton,2020
109,Incendies,2010
110,To Kill a Mockingbird,1962
111,Heat,1995
112,The Sting,1973
113,Up,2009
114,A Separation,2011
115,Metropolis,1927
116,Taxi Driver,1976
117,L.A. Confidential,1997
118,Die Hard,1988
119,Snatch,2000
120,Indiana Jones and the Last Crusade,1989
121,Bicycle Thieves,1948
122,Like Stars on Earth,2007
123,1917,2019
124,Downfall,2004
125,Dangal,2016
126,For a Few Dollars More,1965
127,Batman Begins,2005
128,The Kid,1921
129,Some Like It Hot,1959
130,The Father,2020
131,All About Eve,1950
132,The Wolf of Wall Street,2013
133,Green Book,2018
134,Judgment at Nuremberg,1961
135,Casino,1995
136,Ran,1985
137,Pan's Labyrinth,2006
138,The Truman Show,1998
139,There Will Be Blood,2007
140,Unforgiven,1992
141,The Sixth Sense,1999
142,Shutter Island,2010
143,A Beautiful Mind,2001
144,Jurassic Park,1993
145,Yojimbo,1961
146,The Treasure of the Sierra Madre,1948
147,Monty Python and the Holy Grail,1975
148,The Great Escape,1963
149,No Country for Old Men,2007
150,Spider-Man: No Way Home,2021
151,Kill Bill: Vol. 1,2003
152,Rashomon,1950
153,The Thing,1982
154,Finding Nemo,2003
155,The Elephant Man,1980
156,Chinatown,1974
157,Raging Bull,1980
158,V for Vendetta,2005
159,Gone with the Wind,1939
160,"Lock, Stock and Two Smoking Barrels",1998
161,Inside Out,2015
162,Dial M for Murder,1954
163,The Secret in Their Eyes,2009
164,Howl's Moving Castle,2004
165,"Three Billboards Outside Ebbing, Missouri",2017
166,The Bridge on the River Kwai,1957
167,Trainspotting,1996
168,Prisoners,2013
169,Warrior,2011
170,Fargo,1996
171,Gran Torino,2008
172,My Neighbor Totoro,1988
173,Catch Me If You Can,2002
174,Million Dollar Baby,2004
175,Children of Heaven,1997
176,Blade Runner,1982
177,The Gold Rush,1925
178,Before Sunrise,1995
179,12 Years a Slave,2013
180,Klaus,2019
181,Harry Potter and the Deathly Hallows: Part 2,2011
182,On the Waterfront,1954
183,Ben-Hur,1959
184,Gone Girl,2014
185,The Grand Budapest Hotel,2014
186,Wild Strawberries,1957
187,The General,1926
188,The Third Man,1949
189,In the Name of the Father,1993
190,The Deer Hunter,1978
191,Barry Lyndon,1975
192,Hacksaw Ridge,2016
193,The Wages of Fear,1953
194,Memories of Murder,2003
195,Sherlock Jr.,1924
196,Wild Tales,2014
197,Mr. Smith Goes to Washington,1939
198,Mad Max: Fury Road,2015
199,The Seventh Seal,1957
200,Mary and Max,2009
201,How to Train Your Dragon,2010
202,Room,2015
203,"Monsters, Inc.",2001
204,Jaws,1975
205,Dead Poets Society,1989
206,The Big Lebowski,1998
207,Tokyo Story,1953
208,The Passion of Joan of Arc,1928
209,Hotel Rwanda,2004
210,Ford v Ferrari,2019
211,Rocky,1976
212,Platoon,1986
213,Ratatouille,2007
214,Spotlight,2015
215,The Terminator,1984
216,Logan,2017
217,Stand by Me,1986
218,Rush,2013
219,Network,1976
220,Into the Wild,2007
221,Before Sunset,2004
222,The Wizard of Oz,1939
223,Pather Panchali,1955
224,Groundhog Day,1993
225,The Best Years of Our Lives,1946
226,The Exorcist,1973
227,The Incredibles,2004
228,To Be or Not to Be,1942
229,La haine,1995
230,The Battle of Algiers,1966
231,Pirates of the Caribbean: The Curse of the Black Pearl,2003
232,Hachi: A Dog's Tale,2009
233,The Grapes of Wrath,1940
234,Jai Bhim,2021
235,My Father and My Son,2005
236,Amores Perros,2000
237,Rebecca,1940
238,Cool Hand Luke,1967
239,The Handmaiden,2016
240,The 400 Blows,1959
241,The Sound of Music,1965
242,It Happened One Night,1934
243,Persona,1966
244,Life of Brian,1979
245,The Iron Giant,1999
246,The Help,2011
247,Dersu Uzala,1975
248,Aladdin,1992
249,Gandhi,1982
250,Dances with Wolves,1990
